"index","id","version","set_num"
"0","1","1","7922-1"
"1","3","1","3931-1"
"2","4","1","6942-1"
"3","15","1","5158-1"
"4","16","1","903-1"
"5","17","1","850950-1"
"6","19","1","4444-1"
"7","21","1","3474-1"
"8","22","1","30277-1"
"9","25","1","71012-11"
"10","26","1","6435-1"
"11","27","1","3055-1"
"12","28","1","7899-1"
"13","29","1","1076-3"
"14","30","1","40107-1"
"15","31","1","14-4"
"16","32","1","4024-21"
"17","33","1","6356-1"
"18","34","1","71017-20"
"19","35","1","5004559-1"
"20","36","1","1756-1"
"21","37","1","8931-1"
"22","38","1","9385-1"
"23","39","1","66512-1"
"24","40","1","6963-1"
"25","42","1","850760-1"
"26","43","1","2000424-1"
"27","45","1","40109-1"
"28","49","1","10071-1"
"29","50","1","K4520-1"
"30","51","1","7904-22"
"31","52","1","6378-1"
"32","54","1","4284-1"
"33","55","1","6711-1"
"34","56","1","4768-2"
"35","58","1","75060-1"
"36","60","1","1390-1"
"37","61","1","10128-1"
"38","62","1","30300-1"
"39","63","1","6981-1"
"40","64","1","6424-1"
"41","65","1","5920-1"
"42","67","1","6577-1"
"43","68","1","8103-1"
"44","69","1","2850829-1"
"45","70","1","483-5"
"46","71","1","K7690-1"
"47","73","1","70812-1"
"48","74","1","6913-1"
"49","76","1","10189-1"
"50","80","1","5827-1"
"51","81","1","65340-1"
"52","82","1","4309-1"
"53","83","1","4888-1"
"54","84","1","6909-1"
"55","86","1","525-1"
"56","87","1","5001925-1"
"57","88","1","6455-1"
"58","89","1","75094-1"
"59","91","1","9483-1"
"60","92","1","6386-1"
"61","94","1","8108-1"
"62","95","1","7575-18"
"63","96","1","10008-1"
"64","98","1","2856226-1"
"65","99","1","521-15"
"66","100","1","71217-1"
"67","101","1","8302-1"
"68","102","1","8803-5"
"69","103","1","4411-1"
"70","104","1","K4103-1"
"71","105","1","6579-1"
"72","106","1","71007-6"
"73","110","1","657-1"
"74","111","1","991451-1"
"75","112","1","4748-1"
"76","113","1","3027-1"
"77","115","1","6167-1"
"78","116","1","561508-1"
"79","118","1","4449-1"
"80","119","1","323-1"
"81","122","1","66177-1"
"82","123","1","41135-1"
"83","125","1","2158-1"
"84","126","1","970654-1"
"85","127","1","2156-1"
"86","128","1","4094-1"
"87","131","1","66358-1"
"88","132","1","6523-1"
"89","136","1","8223-1"
"90","137","1","30301-1"
"91","138","1","520-13"
"92","140","1","508-1"
"93","142","1","3420-1"
"94","143","1","7138-1"
"95","145","1","41562-1"
"96","146","1","18703535-1"
"97","147","1","1141-1"
"98","148","1","76008-1"
"99","151","1","7048-1"
"100","152","1","76015-1"
"101","153","1","60018-1"
"102","154","1","3859-1"
"103","155","1","10175-1"
"104","158","1","702-3"
"105","159","1","7740-1"
"106","162","1","5645-1"
"107","163","1","30314-1"
"108","164","1","238-1"
"109","165","1","2852724-1"
"110","166","1","6745-1"
"111","168","1","1701-1"
"112","169","1","6299-13"
"113","170","1","8831-0"
"114","171","1","610-1"
"115","172","1","8678-1"
"116","173","1","41065-1"
"117","174","1","30286-1"
"118","175","1","8622-1"
"119","177","1","8121-1"
"120","179","1","1413-1"
"121","180","1","7511-1"
"122","182","1","8833-7"
"123","183","1","435-1"
"124","185","1","7904-20"
"125","186","1","60134-1"
"126","187","1","9749-1"
"127","188","1","21206-1"
"128","190","1","2824-18"
"129","191","1","4559387-1"
"130","192","1","5831-1"
"131","193","1","4024-15"
"132","194","1","comcon017-1"
"133","196","1","7553-20"
"134","197","1","9871-1"
"135","198","1","21017-1"
"136","199","1","70209-1"
"137","203","1","Austin-1"
"138","204","1","20205-1"
"139","206","1","5974-1"
"140","207","1","40092-1"
"141","208","1","342-1"
"142","209","1","970600-1"
"143","210","1","6395-1"
"144","211","1","1136-1"
"145","212","1","6585-1"
"146","214","1","3715-1"
"147","215","1","7875-1"
"148","216","1","1089-1"
"149","217","1","6328-1"
"150","218","1","60034-1"
"151","220","1","2848-1"
"152","221","1","1248-1"
"153","222","1","8240-1"
"154","224","1","71017-1"
"155","225","1","5391-1"
"156","226","1","LOC391412-1"
"157","227","1","7979-3"
"158","228","1","7907-9"
"159","229","1","1966-1"
"160","232","1","2152-1"
"161","233","1","30281-1"
"162","234","1","75046-1"
"163","236","1","40080-1"
"164","238","1","6695-1"
"165","239","1","21114-1"
"166","240","1","1821-1"
"167","241","1","7687-15"
"168","242","1","6118-1"
"169","243","1","71220-1"
"170","245","1","7662-1"
"171","246","1","4098-1"
"172","248","1","20019-1"
"173","250","1","5808-1"
"174","251","1","3886-3"
"175","253","1","5004267-1"
"176","254","1","8812-1"
"177","255","1","60024-3"
"178","256","1","630-1"
"179","258","1","8683-4"
"180","259","1","70137-1"
"181","262","1","7953-1"
"182","263","1","7575-1"
"183","265","1","Nuremberg-1"
"184","267","1","40204-1"
"185","268","1","6007-1"
"186","269","1","60067-1"
"187","272","1","10528-1"
"188","274","1","31-2"
"189","275","1","C001-1"
"190","276","1","8684-3"
"191","279","1","21008-1"
"192","280","1","9614-1"
"193","282","1","850935-1"
"194","284","1","588-1"
"195","285","1","851003-1"
"196","286","1","75056-12"
"197","293","1","4696-1"
"198","294","1","71005-4"
"199","295","1","lfv2-1"
"200","297","1","10700-1"
"201","299","1","71236-1"
"202","300","1","3482-1"
"203","301","1","1462-1"
"204","302","1","75033-1"
"205","303","1","6825-1"
"206","304","1","6687-1"
"207","305","1","6299-1"
"208","307","1","3746-1"
"209","308","1","4653-1"
"210","309","1","K4515-1"
"211","310","1","5036-1"
"212","311","1","10201-1"
"213","312","1","2250-1"
"214","313","1","7885-1"
"215","315","1","816-1"
"216","316","1","20208-1"
"217","317","1","9-2"
"218","319","1","6479-1"
"219","321","1","3641-1"
"220","322","1","221-2"
"221","323","1","8010-1"
"222","324","1","39-1"
"223","325","1","3300014-1"
"224","326","1","1294-1"
"225","327","1","7216-1"
"226","328","1","4416-1"
"227","330","1","10222-1"
"228","331","1","954-1"
"229","332","1","4758-1"
"230","333","1","813-1"
"231","334","1","71011-9"
"232","335","1","659-1"
"233","336","1","10680-1"
"234","337","1","1499-1"
"235","338","1","8942-2"
"236","345","1","40021-1"
"237","347","1","911618-1"
"238","348","1","7165-1"
"239","349","1","9462-1"
"240","350","1","6989-1"
"241","352","1","520-12"
"242","353","1","5105-1"
"243","354","1","7315-1"
"244","355","1","4281-1"
"245","356","1","970630-1"
"246","357","1","9553-1"
"247","358","1","42036-1"
"248","361","1","970617-1"
"249","362","1","8649-1"
"250","363","1","837-1"
"251","364","1","1419-1"
"252","369","1","71005-15"
"253","371","1","8593-1"
"254","372","1","3833-1"
"255","373","1","6734-1"
"256","374","1","6470-1"
"257","375","1","40082-1"
"258","376","1","315-2"
"259","377","1","851210-1"
"260","378","1","71001-8"
"261","379","1","3451-1"
"262","380","1","9853-1"
"263","382","1","5877-1"
"264","384","1","9825-1"
"265","385","1","6685-1"
"266","387","1","41016-8"
"267","388","1","727-1"
"268","389","1","6758-1"
"269","390","1","4576-1"
"270","392","1","7219-1"
"271","393","1","9222-1"
"272","394","1","4551-1"
"273","395","1","7888-1"
"274","397","1","71014-15"
"275","398","1","71010-17"
"276","401","1","40195-1"
"277","402","1","114-2"
"278","403","1","76050-1"
"279","404","1","7687-17"
"280","405","1","970663-1"
"281","406","1","8738-1"
"282","407","1","9857-1"
"283","408","1","7724-20"
"284","409","1","76036-1"
"285","410","1","3494-1"
"286","411","1","6678-1"
"287","412","1","70005-1"
"288","415","1","MS1032-1"
"289","416","1","1690-1"
"290","419","1","7172-1"
"291","422","1","6472-1"
"292","423","1","60096-1"
"293","424","1","710-6"
"294","427","1","7957-1"
"295","429","1","2027-1"
"296","431","1","70707-1"
"297","432","1","60139-1"
"298","433","1","8083-1"
"299","434","1","70600-1"
"300","436","1","6969-1"
"301","437","1","60069-1"
"302","438","1","561511-1"
"303","440","1","852737-1"
"304","441","1","6247-1"
"305","442","1","5967-1"
"306","443","1","30190-1"
"307","444","1","60002-1"
"308","445","1","102A-1"
"309","446","1","6890-1"
"310","447","1","60144-1"
"311","448","1","8369-1"
"312","451","1","5166-1"
"313","452","1","1807-1"
"314","454","1","6212-1"
"315","457","1","75127-1"
"316","459","1","9089-1"
"317","460","1","LLCA52-1"
"318","461","1","310-5"
"319","465","1","6077-2"
"320","466","1","507-1"
"321","467","1","6928-1"
"322","468","1","79104-3"
"323","469","1","3316-19"
"324","470","1","310-3"
"325","472","1","5925-1"
"326","473","1","65813-1"
"327","474","1","813-2"
"328","475","1","400-1"
"329","477","1","9677-1"
"330","479","1","1796-1"
"331","480","1","8028-1"
"332","481","1","70786-1"
"333","482","1","6038-1"
"334","483","1","455-1"
"335","484","1","5766-1"
"336","485","1","750-1"
"337","486","1","3920-1"
"338","488","1","685-1"
"339","489","1","4618-1"
"340","491","1","6404-1"
"341","492","1","312-4"
"342","493","1","7724-2"
"343","496","1","k34434-1"
"344","497","1","42002-1"
"345","498","1","6522-1"
"346","499","1","167-1"
"347","500","1","5001307-1"
"348","501","1","7979-7"
"349","502","1","40081-4"
"350","503","1","4591715-1"
"351","504","1","9831-1"
"352","505","1","10228-1"
"353","506","1","8898-1"
"354","508","1","292-1"
"355","509","1","41040-9"
"356","511","1","4867-1"
"357","512","1","8398-1"
"358","515","1","KT105-1"
"359","516","1","329-1"
"360","517","1","4451-1"
"361","518","1","6573-1"
"362","521","1","6162-1"
"363","523","1","8039-1"
"364","525","1","VP-12"
"365","526","1","7271-1"
"366","528","1","1997-1"
"367","531","1","214.6-1"
"368","532","1","7111-1"
"369","533","1","B002-1"
"370","534","1","851005-1"
"371","537","1","700.B.2-1"
"372","538","1","7324-13"
"373","539","1","9731-1"
"374","540","1","4939-1"
"375","541","1","10737-1"
"376","542","1","5082-1"
"377","544","1","10725-1"
"378","545","1","4610-1"
"379","546","1","41567-1"
"380","547","1","71012-2"
"381","549","1","3040-1"
"382","550","1","5402-1"
"383","551","1","4063-1"
"384","552","1","5284-1"
"385","554","1","7606-1"
"386","556","1","SW911508-1"
"387","557","1","3409-1"
"388","558","1","21120-1"
"389","560","1","5002045-1"
"390","561","1","K4516-1"
"391","563","1","2824-20"
"392","565","1","337-1"
"393","566","1","245-1"
"394","567","1","70140-1"
"395","570","1","9393-1"
"396","571","1","7870-1"
"397","575","1","5621-1"
"398","576","1","71001-4"
"399","577","1","6860-1"
"400","578","1","5490-1"
"401","579","1","4277206-1"
"402","580","1","K3409-1"
"403","581","1","70794-1"
"404","582","1","3447-1"
"405","583","1","6058324-1"
"406","586","1","30121-1"
"407","587","1","6731-1"
"408","588","1","7687-10"
"409","589","1","71004-6"
"410","590","1","70206-1"
"411","591","1","75074-1"
"412","592","1","10059-1"
"413","593","1","4857-1"
"414","594","1","8903-1"
"415","595","1","4103-2"
"416","597","1","45303-1"
"417","599","1","9678-1"
"418","601","1","6361-1"
"419","603","1","30071-1"
"420","604","1","4876-1"
"421","605","1","71247-1"
"422","606","1","7952-12"
"423","607","1","B003-1"
"424","608","1","9826-1"
"425","609","1","5276-1"
"426","610","1","1610-1"
"427","612","1","445062-1"
"428","613","1","30229-1"
"429","614","1","66444-1"
"430","618","1","6389-1"
"431","620","1","10679-1"
"432","621","1","75059-1"
"433","622","1","70319-1"
"434","623","1","4541-1"
"435","624","1","6750-1"
"436","625","1","40005-1"
"437","627","1","4905-1"
"438","629","1","852997-1"
"439","630","1","5318-1"
"440","631","1","851441"
"441","635","1","915-1"
"442","637","1","7256-1"
"443","639","1","8785483-1"
"444","640","1","1554-1"
"445","641","1","4210-1"
"446","642","1","7904-17"
"447","646","1","3225-1"
"448","647","1","2263-1"
"449","651","1","7724-25"
"450","653","1","71010-2"
"451","654","1","8601-2"
"452","655","1","41071-1"
"453","656","1","44025-1"
"454","658","1","9883-1"
"455","659","1","3383-1"
"456","660","1","4059-1"
"457","661","1","8652-1"
"458","662","1","7170-2"
"459","663","1","10048-1"
"460","666","1","75023-8"
"461","667","1","9868-1"
"462","668","1","4613985-1"
"463","671","1","TRUNINJAGO-1"
"464","673","1","3671-1"
"465","674","1","706-1"
"466","676","1","30106-1"
"467","678","1","485-2"
"468","680","1","608-2"
"469","681","1","60116-1"
"470","682","1","8533-1"
"471","685","1","7958-20"
"472","686","1","8693-1"
"473","687","1","75041-1"
"474","688","1","1247-2"
"475","690","1","445-2"
"476","691","1","3752-1"
"477","692","1","8448-1"
"478","693","1","7574-3"
"479","694","1","700.C-1"
"480","695","1","65514-1"
"481","696","1","2856238-1"
"482","697","1","4586940-1"
"483","698","1","870-1"
"484","699","1","850998-1"
"485","701","1","75100-1"
"486","702","1","1118-1"
"487","703","1","75912-1"
"488","705","1","733-1"
"489","706","1","7907-23"
"490","707","1","7856-1"
"491","708","1","65071-1"
"492","710","1","6637-1"
"493","712","1","7881-1"
"494","716","1","418-2"
"495","718","1","1239-2"
"496","722","1","30255-1"
"497","723","1","711-1"
"498","725","1","9940-1"
"499","728","1","6886-1"
"500","731","1","6737-1"
"501","732","1","8609-1"
"502","734","1","60017-1"
"503","735","1","4485-1"
"504","736","1","60099-1"
"505","737","1","852747-1"
"506","738","1","7920-1"
"507","740","1","70401-1"
"508","741","1","619-1"
"509","742","1","5887-1"
"510","743","1","75056-3"
"511","745","1","8706-1"
"512","747","1","5961-1"
"513","751","1","6621-1"
"514","752","1","60143-1"
"515","753","1","70106-1"
"516","754","1","3815-1"
"517","755","1","2516-1"
"518","756","1","852769-1"
"519","758","1","wwgp1-1"
"520","760","1","1915-1"
"521","761","1","808-1"
"522","762","1","7838-1"
"523","763","1","7235-2"
"524","764","1","8956-1"
"525","766","1","7958-1"
"526","768","1","5086-1"
"527","769","1","4659612-1"
"528","770","1","1298-6"
