index,id,version,set_num,index_sets,name,year,theme_id,num_parts,index_themes,id_sets,name_themes,parent_id
0,1,1,7922-1,8896,McDonald's Sports Set Number 6 - Orange Vest Snowboarder,2004,460,4,390,460,Gravity Games,458.0
1,3,1,3931-1,2963,Emma's Splash Pool,2012,494,43,581,494,Friends,
2,4,1,6942-1,6866,Zo Weevil,1999,134,20,128,134,Insectoids,126.0
3,15,1,5158-1,4970,"T-Junction, Circle Plates",1990,454,2,385,454,Town,443.0
4,16,1,903-1,10442,Train Wheels and Couplers,1969,371,10,331,371,Supplemental,365.0
5,17,1,850950-1,9566,Christmas Cat Ornament,2014,228,34,216,228,Creator,227.0
6,19,1,4444-1,4022,Coca-Cola Defender 2,2002,462,4,392,462,Soccer,458.0
7,21,1,3474-1,2589,1 x 6 Light Gray Bricks,2000,254,50,517,254,Bulk Bricks,
8,22,1,30277-1,2125,First Order Star Destroyer,2016,184,56,175,184,Star Wars Episode 7,158.0
9,25,1,71012-11,7512,Minnie Mouse,2016,555,6,469,555,Disney,535.0
10,26,1,6435-1,6205,Coast Guard HQ,1999,96,217,92,96,Coast Guard,94.0
11,27,1,3055-1,2215,Adventurers Car,1998,297,21,268,297,Desert,296.0
12,28,1,7899-1,8786,Police Boat,2006,61,199,57,61,Police,52.0
13,29,1,1076-3,451,Advent Calendar 1999 (Day  2) Snowman,1999,217,11,205,217,Advent Sub-Set,206.0
14,30,1,40107-1,3105,Ice Skating,2014,228,129,216,228,Creator,227.0
15,31,1,14-4,911,Train Motor Plate with Coupler,1977,456,1,387,456,Train,443.0
16,32,1,4024-21,3229,Advent Calendar 2003 Creator (Day 20) Santa,2003,223,13,211,223,Creator,217.0
17,33,1,6356-1,6117,Med-Star Rescue Plane,1988,78,160,74,78,Hospital,67.0
18,34,1,71017-20,7576,The Mime™,2017,484,7,405,484,Batman,482.0
19,35,1,5004559-1,4800,Speed Champions Collection 2,2015,601,2,605,601,Speed Champions,
20,36,1,1756-1,1158,{Basic Promotional Set},1995,468,8,395,468,Basic Model,465.0
21,37,1,8931-1,10367,Thulox,2007,334,39,297,334,Matoran of Mahri Nui,324.0
22,38,1,9385-1,10552,Sceneries Set,2010,22,1229,504,22,Creator,
23,39,1,66512-1,6592,"Star Wars Super Pack 2 in 1 (75048, 75053)",2014,182,2,173,182,Star Wars Rebels,158.0
24,40,1,6963-1,6884,X-wing Fighter - Mini (Kabaya Box),2004,159,41,150,159,Mini,158.0
25,42,1,850760-1,9526,I Love Paris Magnet [Male],2013,501,6,584,501,Gear,
26,43,1,2000424-1,1346,Story Starter (Sample Set),2014,507,96,586,507,Educational and Dacta,
27,45,1,40109-1,3107,MINI Cooper Mini Model,2014,22,59,504,22,Creator,
28,49,1,10071-1,91,Mr. Bunny,2003,229,25,217,229,Easter,206.0
29,50,1,K4520-1,11251,Special Track Kit,1992,244,4,231,244,9V,241.0
30,51,1,7904-22,8823,Advent Calendar 2006 City (Day 21) Work Bench with Vise,2006,220,13,208,220,City,217.0
31,52,1,6378-1,6142,Shell Service Station,1986,76,290,72,76,Station,67.0
32,54,1,4284-1,3872,Classic Trial Size,1999,470,123,397,470,Classic Basic,465.0
33,55,1,6711-1,6655,Space Mini-Figs,1983,143,24,137,143,Supplemental,126.0
34,56,1,4768-2,4392,The Durmstrang Ship with Bonus Mini - Figures (Target exclusive),2005,248,544,234,248,Goblet of Fire,246.0
35,58,1,75060-1,8074,Slave I,2015,174,1994,165,174,Star Wars Episode 4/5/6,171.0
36,60,1,1390-1,871,Maku [McDonald's Promo Set #3],2001,355,8,318,355,Tohunga,324.0
37,61,1,10128-1,119,Train Level Crossing,2003,239,326,226,239,World City,236.0
38,62,1,30300-1,2140,The Batman Tumbler,2014,484,57,405,484,Batman,482.0
39,63,1,6981-1,6907,Aerial Intruder,1991,129,267,123,129,Blacktron II,126.0
40,64,1,6424-1,6192,Rig Racers,1998,101,107,97,101,Race,94.0
41,65,1,5920-1,5484,Island Racer,2000,298,50,269,298,Dino Island,296.0
42,67,1,6577-1,6401,Snow Scooter,2000,51,20,47,51,Arctic,50.0
43,68,1,8103-1,9139,Sky Guardian,2007,389,143,547,389,Exo-Force,
44,69,1,2850829-1,1833,Luke Skywalker Watch,2011,501,0,584,501,Gear,
45,70,1,483-5,4438,"Angle, Valley and Corner Slopes, Blue (The Building Toy)",1966,371,20,331,371,Supplemental,365.0
46,71,1,K7690-1,11288,Mars Mission Collection,2008,137,7,131,137,Mars Mission,126.0
47,73,1,70812-1,7277,Creative Ambush,2014,578,473,597,578,The LEGO Movie,
48,74,1,6913-1,6839,Blue Roadster,2012,22,152,504,22,Creator,
49,76,1,10189-1,170,Taj Mahal,2008,276,5922,527,276,Sculptures,
50,80,1,5827-1,5407,Royal Coach,2000,319,85,283,319,Fairy-Tale,318.0
51,81,1,65340-1,6329,Dumper and Front End Loader Co-Pack (contains 8451 and 8453),2004,7,2,5,7,Construction,5.0
52,82,1,4309-1,3900,Blue Racer,2004,113,31,108,113,Drome Racers,112.0
53,83,1,4888-1,4476,Ocean Odyssey,2005,204,623,512,204,Designer Sets,
54,84,1,6909-1,6834,Sonic Stinger with Promotional Mask,1998,134,96,128,134,Insectoids,126.0
55,86,1,525-1,5097,Basic Building Set,1990,467,185,394,467,Basic,465.0
56,87,1,5001925-1,4651,Horizon Express Kit,2013,240,7,227,240,RC Train,233.0
57,88,1,6455-1,6225,Space Simulation Station,1999,93,251,89,93,Space Port,50.0
58,89,1,75094-1,8101,Imperial Shuttle Tydirium,2015,158,935,510,158,Star Wars,
59,91,1,9483-1,10606,Agent Mater’s Escape,2012,269,144,521,269,Cars,
60,92,1,6386-1,6151,Police Command Base,1986,80,401,76,80,Police,67.0
61,94,1,8108-1,9145,Mobile Devastator,2007,389,1012,547,389,Exo-Force,
