index,inventory_id,set_num,quantity,index_inventories,id,version,set_num_inventories,index_sets,name,year,theme_id,num_parts,index_themes,id_sets,name_themes,parent_id,index_sets,name_sets,year_sets,theme_id_sets,num_parts_sets,index_themes_sets,id_sets,name_themes_sets,parent_id_sets
0,35,75911-1,1,19,35,1,5004559-1,4800,Speed Champions Collection 2,2015,601,2,605,601,Speed Champions,,8355,McLaren Mercedes Pit Stop,2015,601,340,605,601,Speed Champions,
1,35,75912-1,1,19,35,1,5004559-1,4800,Speed Champions Collection 2,2015,601,2,605,601,Speed Champions,,8356,Porsche 911 GT Finish Line,2015,601,561,605,601,Speed Champions,
2,39,75048-1,1,23,39,1,66512-1,6592,"Star Wars Super Pack 2 in 1 (75048, 75053)",2014,182,2,173,182,Star Wars Rebels,158.0,8038,The Phantom,2014,182,233,173,182,Star Wars Rebels,158.0
3,39,75053-1,1,23,39,1,66512-1,6592,"Star Wars Super Pack 2 in 1 (75048, 75053)",2014,182,2,173,182,Star Wars Rebels,158.0,8044,The Ghost,2014,182,927,173,182,Star Wars Rebels,158.0
4,50,4515-1,1,29,50,1,K4520-1,11251,Special Track Kit,1992,244,4,231,244,9V,241.0,4114,Straight Rails,1991,244,8,231,244,9V,241.0
5,50,4520-1,2,29,50,1,K4520-1,11251,Special Track Kit,1992,244,4,231,244,9V,241.0,4117,Curved Rails,1991,244,8,231,244,9V,241.0
6,50,4531-1,1,29,50,1,K4520-1,11251,Special Track Kit,1992,244,4,231,244,9V,241.0,4160,Manual Points,1991,244,6,231,244,9V,241.0
7,71,7690-1,1,46,71,1,K7690-1,11288,Mars Mission Collection,2008,137,7,131,137,Mars Mission,126.0,8579,MB-01 Eagle Command Base,2007,137,763,131,137,Mars Mission,126.0
8,71,7691-1,1,46,71,1,K7690-1,11288,Mars Mission Collection,2008,137,7,131,137,Mars Mission,126.0,8580,ETX Alien Mothership Assault,2007,137,433,131,137,Mars Mission,126.0
9,71,7692-1,1,46,71,1,K7690-1,11288,Mars Mission Collection,2008,137,7,131,137,Mars Mission,126.0,8581,MX-71 Recon Dropship,2007,137,434,131,137,Mars Mission,126.0
10,71,7693-1,1,46,71,1,K7690-1,11288,Mars Mission Collection,2008,137,7,131,137,Mars Mission,126.0,8582,ETX Alien Strike,2007,137,245,131,137,Mars Mission,126.0
11,71,7694-1,1,46,71,1,K7690-1,11288,Mars Mission Collection,2008,137,7,131,137,Mars Mission,126.0,8583,MT-31 Trike,2007,137,94,131,137,Mars Mission,126.0
12,71,7695-1,1,46,71,1,K7690-1,11288,Mars Mission Collection,2008,137,7,131,137,Mars Mission,126.0,8584,MX-11 Astro Fighter,2007,137,56,131,137,Mars Mission,126.0
13,71,7697-1,1,46,71,1,K7690-1,11288,Mars Mission Collection,2008,137,7,131,137,Mars Mission,126.0,8586,MT-51 Claw-Tank Ambush,2007,137,373,131,137,Mars Mission,126.0
14,81,8451-1,1,51,81,1,65340-1,6329,Dumper and Front End Loader Co-Pack (contains 8451 and 8453),2004,7,2,5,7,Construction,5.0,9432,Dumper,2003,7,183,5,7,Construction,5.0
15,81,8453-1,1,51,81,1,65340-1,6329,Dumper and Front End Loader Co-Pack (contains 8451 and 8453),2004,7,2,5,7,Construction,5.0,9433,Front End Loader,2003,7,214,5,7,Construction,5.0
16,87,10233-1,1,56,87,1,5001925-1,4651,Horizon Express Kit,2013,240,7,227,240,RC Train,233.0,214,Horizon Express,2013,240,1349,227,240,RC Train,233.0
17,87,88002-1,1,56,87,1,5001925-1,4651,Horizon Express Kit,2013,240,7,227,240,RC Train,233.0,10109,Power Functions Train Motor,2011,438,7,565,438,Power Functions,
18,87,8870-1,1,56,87,1,5001925-1,4651,Horizon Express Kit,2013,240,7,227,240,RC Train,233.0,10286,Power Functions Light,2009,438,1,565,438,Power Functions,
19,87,8878-1,1,56,87,1,5001925-1,4651,Horizon Express Kit,2013,240,7,227,240,RC Train,233.0,10294,Rechargeable Battery Box,2009,438,1,565,438,Power Functions,
20,87,8879-1,1,56,87,1,5001925-1,4651,Horizon Express Kit,2013,240,7,227,240,RC Train,233.0,10295,IR Speed Remote Control,2009,438,1,565,438,Power Functions,
21,87,8884-1,1,56,87,1,5001925-1,4651,Horizon Express Kit,2013,240,7,227,240,RC Train,233.0,10300,Power Functions IR Receiver,2008,438,1,565,438,Power Functions,
22,104,4103-1,1,70,104,1,K4103-1,11237,Creator Bucket bundled with 4782 (TRU Exclusive),2005,37,2,34,37,Basic Set,22.0,3370,Fun with Bricks {small red bucket},2002,37,200,34,37,Basic Set,22.0
23,104,4782-1,1,70,104,1,K4103-1,11237,Creator Bucket bundled with 4782 (TRU Exclusive),2005,37,2,34,37,Basic Set,22.0,4398,Box of Bricks,2005,48,200,45,48,Supplemental,22.0
24,122,7238-1,1,81,122,1,66177-1,6462,City Rescue Pack,2007,52,0,48,52,City,50.0,7803,Fire Helicopter,2005,58,75,54,58,Fire,52.0
25,122,7890-1,1,81,122,1,66177-1,6462,City Rescue Pack,2007,52,0,48,52,City,50.0,8774,Ambulance,2006,60,117,56,60,Hospital,52.0
26,122,7944-1,1,81,122,1,66177-1,6462,City Rescue Pack,2007,52,0,48,52,City,50.0,8909,Fire Hovercraft,2007,58,273,54,58,Fire,52.0
