"index","id","name"
"0","1","Baseplates"
"1","2","Bricks Printed"
"2","3","Bricks Sloped"
"3","4","Duplo, Quatro and Primo"
"4","5","Bricks Special"
"5","6","Bricks Wedged"
"6","7","Containers"
"7","8","Technic Bricks"
"8","9","Plates Special"
"9","10","Tiles Printed"
"10","11","Bricks"
"11","12","Technic Connectors"
"12","13","Minifigs"
"13","14","Plates"
"14","15","Tiles Special"
"15","16","Windows and Doors"
"16","17","Non-LEGO"
"17","18","Hinges, Arms and Turntables"
"18","19","Tiles"
"19","20","Bricks Round and Cones"
"20","21","Plates Round and Dishes"
"21","22","Pneumatics"
"22","23","Panels"
"23","24","Other"
"24","25","Technic Steering, Suspension and Engine"
"25","26","Technic Special"
"26","27","Minifig Accessories"
"27","28","Plants and Animals"
"28","29","Wheels and Tyres"
"29","30","Tubes and Hoses"
"30","31","String, Bands and Reels"
"31","32","Bars, Ladders and Fences"
"32","33","Rock"
"33","34","Supports, Girders and Cranes"
"34","35","Transportation - Sea and Air"
"35","36","Transportation - Land"
"36","37","Bricks Curved"
"37","38","Flags, Signs, Plastics and Cloth"
"38","39","Magnets and Holders"
"39","40","Technic Panels"
"40","41","Bionicle, Hero Factory and Constraction"
"41","42","Belville, Scala and Fabuland"
"42","43","Znap"
"43","44","Mechanical"
"44","45","Power Functions, Mindstorms and Electric"
"45","46","Technic Axles"
"46","47","Windscreens and Fuselage"
"47","48","Clikits"
"48","49","Plates Angled"
"49","50","HO Scale"
"50","51","Technic Beams"
"51","52","Technic Gears"
"52","53","Technic Pins"
"53","54","Technic Bushes"
"54","55","Technic Beams Special"
"55","56","Tools"
"56","57","Non-Buildable Figures (Duplo, Fabuland, etc)"
