"index","year","total_sets","moving_avg_10yr","ewma"
"0","1950","7","7","7"
"1","1953","4","5.5","4.9"
"2","1954","14","8.33","11"
"3","1955","28","13.25","23.8"
"4","1956","12","13","16.8"
"5","1957","21","14.33","18.3"
"6","1958","42","18.29","35.7"
"7","1959","4","16.5","15.4"
"8","1960","3","15","3.3"
"9","1961","17","15.2","12.8"
"10","1962","40","18.5","33.1"
"11","1963","18","19.9","24.6"
"12","1964","11","19.6","13.1"
"13","1965","10","17.8","10.3"
"14","1966","89","25.5","65.3"
"15","1967","21","25.5","41.4"
"16","1968","25","23.8","23.8"
"17","1969","69","30.3","55.8"
"18","1970","29","32.9","41"
"19","1971","45","35.7","40.2"
"20","1972","38","35.5","40.1"
"21","1973","67","40.4","58.3"
"22","1974","39","43.2","47.4"
"23","1975","31","45.3","33.4"
"24","1976","68","43.2","56.9"
"25","1977","92","50.3","84.8"
"26","1978","73","55.1","78.7"
"27","1979","82","56.4","79.3"
"28","1980","88","62.3","86.2"
"29","1981","79","65.7","81.7"
"30","1982","76","69.5","76.9"
"31","1983","57","68.5","62.7"
"32","1984","76","72.2","70.3"
"33","1985","139","83","120.1"
"34","1986","123","88.5","127.8"
"35","1987","209","100.2","183.2"
"36","1988","68","99.7","110.3"
"37","1989","115","103","100.9"
"38","1990","85","102.7","94"
"39","1991","107","105.5","100.4"
"40","1992","115","109.4","112.6"
"41","1993","111","114.8","112.2"
"42","1994","128","120","122.9"
"43","1995","128","118.9","128"
"44","1996","144","121","139.2"
"45","1997","192","119.3","177.6"
"46","1998","325","145","285.1"
"47","1999","300","163.5","307.5"
"48","2000","327","187.7","318.9"
"49","2001","339","210.9","335.4"
"50","2002","447","244.1","414.6"
"51","2003","415","274.5","424.6"
"52","2004","371","298.8","384.2"
"53","2005","330","319","342.3"
"54","2006","283","332.9","297.1"
"55","2007","321","345.8","309.6"
"56","2008","349","348.2","340.6"
"57","2009","402","358.4","386.1"
"58","2010","444","370.1","431.4"
"59","2011","503","386.5","485.3"
"60","2012","615","403.3","581.4"
"61","2013","593","421.1","599.6"
"62","2014","713","455.3","677"
"63","2015","665","488.8","679.4"
"64","2016","596","520.1","616.7"
"65","2017","296","517.6","386"
