"index","set_num","name","num_parts","year"
"0","10189-1","Taj Mahal","5922","2008"
"1","SWMP-1","Star Wars / M&M Mosaic - Promo Set","5461","2005"
"2","2000409-1","Window Exploration Bag","5200","2010"
"3","10179-1","Millennium Falcon - UCS","5195","2007"
"4","75827-1","Firehouse Headquarters","4640","2016"
"5","40179-1","Personalised Mosaic Portrait","4501","2016"
"6","10214-1","Tower Bridge","4295","2010"
"7","10253-1","Big Ben","4166","2016"
"8","71040-1","The Disney Castle","4060","2016"
"9","75159-1","Death Star","4023","2016"
