"index","year","total_sets"
"0","1950","7"
"1","1953","4"
"2","1954","14"
"3","1955","28"
"4","1956","12"
"5","1957","21"
"6","1958","42"
"7","1959","4"
"8","1960","3"
"9","1961","17"
"10","1962","40"
"11","1963","18"
"12","1964","11"
"13","1965","10"
"14","1966","89"
"15","1967","21"
"16","1968","25"
"17","1969","69"
"18","1970","29"
"19","1971","45"
"20","1972","38"
"21","1973","67"
"22","1974","39"
"23","1975","31"
"24","1976","68"
"25","1977","92"
"26","1978","73"
"27","1979","82"
"28","1980","88"
"29","1981","79"
"30","1982","76"
"31","1983","57"
"32","1984","76"
"33","1985","139"
"34","1986","123"
"35","1987","209"
"36","1988","68"
"37","1989","115"
"38","1990","85"
"39","1991","107"
"40","1992","115"
"41","1993","111"
"42","1994","128"
"43","1995","128"
"44","1996","144"
"45","1997","192"
"46","1998","325"
"47","1999","300"
"48","2000","327"
"49","2001","339"
"50","2002","447"
"51","2003","415"
"52","2004","371"
"53","2005","330"
"54","2006","283"
"55","2007","321"
"56","2008","349"
"57","2009","402"
"58","2010","444"
"59","2011","503"
"60","2012","615"
"61","2013","593"
"62","2014","713"
"63","2015","665"
"64","2016","596"
"65","2017","296"
