"index","theme_name","year","total_sets","rank"
"0","Batman","2017","44","1"
"1","Nexo Knights","2017","19","2"
"2","Friends","2017","18","3"
"3","Series 17 Minifigures","2017","18","3"
"4","Star Wars","2017","16","5"
"5","Nexo Knights","2016","51","1"
"6","Friends","2016","45","2"
"7","Ninjago","2016","32","3"
"8","Dimensions","2016","26","4"
"9","Creator","2016","25","5"
"10","Friends","2015","51","1"
"11","Ninjago","2015","46","2"
"12","Gear","2015","36","3"
"13","Duplo","2015","32","4"
"14","Dimensions","2015","31","5"
"15","Gear","2014","63","1"
"16","Friends","2014","53","2"
"17","Star Wars","2014","46","3"
"18","Legends of Chima","2014","38","4"
"19","Duplo","2014","35","5"
"20","Friends","2013","44","1"
"21","Star Wars","2013","31","2"
"22","City","2013","29","3"
"23","Creator","2013","27","4"
"24","Duplo","2013","26","5"
"25","Friends","2012","58","1"
"26","Ninjago","2012","47","2"
"27","Star Wars","2012","35","3"
"28","Gear","2012","32","4"
"29","Duplo","2012","27","5"
"30","Ninjago","2011","42","1"
"31","Gear","2011","33","2"
"32","City","2011","30","3"
"33","Star Wars","2011","28","4"
"34","Series 4 Minifigures","2011","19","5"
"35","Series 3 Minifigures","2011","19","5"
"36","Series 5 Minifigures","2011","19","5"
"37","City","2010","27","1"
"38","Castle","2010","25","2"
"39","Gear","2010","20","3"
"40","Series 2 Minifigures","2010","19","4"
"41","Series 1 Minifigures","2010","19","4"
"42","City","2009","30","1"
"43","Pirates","2009","25","2"
"44","Power Miners","2009","19","3"
"45","Star Wars Clone Wars","2009","18","4"
"46","Basic Set","2009","16","5"
"47","City","2008","30","1"
"48","Castle","2008","25","2"
"49","Police","2008","14","3"
"50","Fantasy Era","2008","13","4"
"51","Star Wars Clone Wars","2008","12","5"
"52","City","2007","29","1"
"53","Belville","2007","25","2"
"54","Exo-Force","2007","22","3"
"55","Construction","2007","11","4"
"56","Tiny Turbos","2007","10","5"
"57","Basic Set","2007","10","5"
"58","Food & Drink","2007","10","5"
"59","Key Chain","2007","10","5"
"60","City","2006","27","1"
"61","Basic Set","2006","17","2"
"62","NXT","2006","16","3"
"63","Exo-Force","2006","16","3"
"64","Bionicle","2006","12","5"
"65","Clikits","2005","38","1"
"66","Knights Kingdom II","2005","27","2"
"67","City","2005","26","3"
"68","Supplemental","2005","21","4"
"69","Star Wars Episode 3","2005","17","5"
"70","Clikits","2004","51","1"
"71","Knights Kingdom II","2004","32","2"
"72","Creator","2004","30","3"
"73","Vahki","2004","15","4"
"74","X-Pod","2004","15","4"
"75","Basketball","2003","30","1"
"76","Orient Expedition","2003","28","2"
"77","Creator","2003","27","3"
"78","Bulk Bricks","2003","26","4"
"79","Rahkshi","2003","25","5"
"80","Technic","2002","63","1"
"81","Soccer","2002","48","2"
"82","Service Packs","2002","33","3"
"83","Creator","2002","25","4"
"84","Drome Racers","2002","22","5"
"85","Studios","2001","44","1"
"86","My Own Train","2001","33","2"
"87","Life On Mars","2001","25","3"
"88","Advent Sub-Set","2001","24","4"
"89","Bulk Bricks","2001","17","5"
"90","Bulk Bricks","2000","48","1"
"91","RoboRiders","2000","26","2"
"92","Advent Sub-Set","2000","24","3"
"93","Knights Kingdom I","2000","21","4"
"94","Dino Island","2000","19","5"
"95","Soccer","2000","19","5"
"96","Classic Basic","1999","26","1"
"97","Advent Sub-Set","1999","24","2"
"98","Space Port","1999","22","3"
"99","Technic","1999","18","4"
"100","Ninja","1999","16","5"
"101","Classic Basic","1998","43","1"
"102","Soccer","1998","22","2"
"103","Desert","1998","21","3"
"104","Basic Model","1998","18","4"
"105","Freestyle","1998","17","5"
"106","Basic Model","1997","21","1"
"107","UFO","1997","15","2"
"108","Technic","1997","14","3"
"109","Divers","1997","11","4"
"110","Fright Knights","1997","10","5"
"111","Supplemental","1996","17","1"
"112","Technic","1996","12","2"
"113","Airport","1996","9","3"
"114","Exploriens","1996","9","3"
"115","Freestyle","1996","7","5"
"116","Service Packs","1996","7","5"
"117","Cowboys","1996","7","5"
"118","Freestyle","1995","28","1"
"119","Technic","1995","19","2"
"120","Launch Command","1995","6","3"
"121","Race","1995","6","3"
"122","Royal Knights","1995","5","5"
"123","Basic Model","1995","5","5"
"124","Technic","1994","30","1"
"125","Recreation","1994","11","2"
"126","Basic Model","1994","8","3"
"127","Airport","1994","6","4"
"128","Islanders","1994","6","4"
"129","Technic","1993","13","1"
"130","Service Packs","1993","11","2"
"131","Castle","1993","8","3"
"132","Ice Planet 2002","1993","6","4"
"133","Race","1993","5","5"
"134","Airport","1993","5","5"
"135","Basic","1993","5","5"
"136","Pirates I","1993","5","5"
"137","Technic","1992","27","1"
"138","Pirates I","1992","7","2"
"139","Race","1992","6","3"
"140","Train","1992","6","3"
"141","9V","1992","5","5"
"142","Supplemental","1992","5","5"
"143","Paradisa","1992","5","5"
"144","Black Knights","1992","5","5"
"145","Service Packs","1991","12","1"
"146","9V","1991","12","1"
"147","Blacktron II","1991","9","3"
"148","Race","1991","8","4"
"149","Technic","1991","6","5"
"150","Airport","1991","6","5"
"151","Basic","1990","19","1"
"152","Airport","1990","9","2"
"153","M:Tron","1990","7","3"
"154","Race","1990","5","4"
"155","Supplemental","1990","3","5"
"156","Black Knights","1990","3","5"
"157","Service Packs","1990","3","5"
"158","Harbor","1990","3","5"
"159","Traffic","1990","3","5"
"160","Forestmen","1990","3","5"
"161","Service Packs","1989","19","1"
"162","Basic Model","1989","9","2"
"163","Technic","1989","8","3"
"164","Pirates I","1989","8","3"
"165","Race","1989","8","3"
"166","Futuron","1988","9","1"
"167","Supplemental","1988","7","2"
"168","Fabuland","1988","6","3"
"169","Traffic","1988","6","3"
"170","Basic","1988","4","5"
"171","Service Packs","1988","4","5"
"172","Race","1988","4","5"
"173","Technic","1987","55","1"
"174","Service Packs","1987","47","2"
"175","Basic","1987","22","3"
"176","Train","1987","14","4"
"177","Classic Space","1987","8","5"
"178","Fabuland","1987","8","5"
"179","Supplemental","1986","23","1"
"180","Classic Space","1986","17","2"
"181","Service Packs","1986","12","3"
"182","Technic","1986","8","4"
"183","Basic","1986","7","5"
"184","Basic","1985","24","1"
"185","Technic","1985","21","2"
"186","Classic Space","1985","14","3"
"187","Fabuland","1985","11","4"
"188","Service Packs","1985","9","5"
"189","Service Packs","1984","10","1"
"190","Classic Space","1984","9","2"
"191","Lion Knights","1984","6","3"
"192","Technic","1984","6","3"
"193","Basic Set","1984","5","5"
"194","Fabuland","1984","5","5"
"195","Classic Space","1983","7","1"
"196","Fabuland","1983","7","1"
"197","Supplemental","1983","6","3"
"198","Basic Set","1983","5","4"
"199","4.5V","1983","4","5"
"200","12V","1983","4","5"
"201","Basic Model","1983","4","5"
"202","Technic","1982","19","1"
"203","Fabuland","1982","15","2"
"204","Service Packs","1982","8","3"
"205","Basic Set","1982","4","4"
"206","Supplemental","1982","3","5"
"207","Post Office","1982","3","5"
"208","Boat","1982","3","5"
"209","Universal Building Set","1982","3","5"
"210","Classic Space","1982","3","5"
"211","Traffic","1982","3","5"
"212","Train","1981","14","1"
"213","Basic Set","1981","9","2"
"214","Service Packs","1981","6","3"
"215","Classic Space","1981","6","3"
"216","Fabuland","1981","5","5"
"217","Supplemental","1980","20","1"
"218","12V","1980","16","2"
"219","4.5V","1980","11","3"
"220","Traffic","1980","6","4"
"221","Expert Builder","1980","5","5"
"222","Classic Space","1980","5","5"
"223","Fabuland","1980","5","5"
"224","Classic Space","1979","19","1"
"225","Fabuland","1979","13","2"
"226","Expert Builder","1979","12","3"
"227","Supplemental","1979","11","4"
"228","Police","1979","4","5"
"229","Traffic","1979","4","5"
"230","Expert Builder","1978","9","1"
"231","Supplemental","1978","8","2"
"232","Traffic","1978","6","3"
"233","Fire","1978","6","3"
"234","Construction","1978","5","5"
"235","Homemaker","1978","5","5"
"236","Train","1977","23","1"
"237","Service Packs","1977","19","2"
"238","Building Set with People","1977","8","3"
"239","Basic Set","1977","8","3"
"240","Expert Builder","1977","7","5"
"241","Building Set with People","1976","9","1"
"242","4.5V","1976","8","2"
"243","Basic Set","1976","8","2"
"244","Building","1976","6","4"
"245","Construction","1976","6","4"
"246","4.5V","1975","6","1"
"247","Building Set with People","1975","5","2"
"248","Factory","1975","4","3"
"249","Construction","1975","4","3"
"250","Hobby Sets","1975","3","5"
"251","Homemaker","1974","8","1"
"252","12V","1974","6","2"
"253","Building Set with People","1974","5","3"
"254","Construction","1974","4","4"
"255","Gears","1974","4","4"
"256","Supplemental","1973","12","1"
"257","Basic Set","1973","11","2"
"258","Construction","1973","9","3"
"259","Homemaker","1973","8","4"
"260","Minitalia","1973","6","5"
"261","4.5V","1972","9","1"
"262","Supplemental","1972","7","2"
"263","Factory","1972","6","3"
"264","Construction","1972","4","4"
"265","Building","1972","3","5"
"266","Airport","1972","3","5"
"267","Construction","1971","12","1"
"268","Supplemental","1971","6","2"
"269","Factory","1971","6","2"
"270","Minitalia","1971","5","4"
"271","Building","1971","5","4"
"272","Minitalia","1970","4","1"
"273","12V","1970","4","1"
"274","Fire","1970","3","3"
"275","Gears","1970","3","3"
"276","Factory","1970","3","3"
"277","Supplemental","1969","37","1"
"278","4.5V","1969","13","2"
"279","12V","1969","12","3"
"280","Building","1969","3","4"
"281","Basic Set","1969","2","5"
"282","4.5V","1968","7","1"
"283","Basic Set","1968","7","1"
"284","Building","1968","3","3"
"285","Jumbo Bricks","1968","2","4"
"286","Town Plan","1968","1","5"
"287","Books","1968","1","5"
"288","Fire","1968","1","5"
"289","Harbor","1968","1","5"
"290","Supplemental","1968","1","5"
"291","Traffic","1968","1","5"
"292","Supplemental","1967","6","1"
"293","4.5V","1967","4","2"
"294","Cargo","1967","3","3"
"295","Traffic","1967","2","4"
"296","Wooden Box Set","1967","1","5"
"297","Airport","1967","1","5"
"298","Construction","1967","1","5"
"299","Basic Set","1967","1","5"
"300","Other","1967","1","5"
"301","Books","1967","1","5"
"302","Supplemental","1966","71","1"
"303","4.5V","1966","12","2"
"304","Jumbo Bricks","1966","1","3"
"305","Building","1966","1","3"
"306","Train","1966","1","3"
"307","Traffic","1966","1","3"
"308","Classic","1966","1","3"
"309","Books","1966","1","3"
"310","Supplemental","1965","3","1"
"311","Basic Set","1965","3","1"
"312","Airport","1965","1","3"
"313","Traffic","1965","1","3"
"314","Classic","1965","1","3"
"315","Building","1965","1","3"
"316","Supplemental","1964","3","1"
"317","Books","1964","2","2"
"318","Building","1964","2","2"
"319","Fire","1964","1","4"
"320","Train","1964","1","4"
"321","Farm","1964","1","4"
"322","Airport","1964","1","4"
"323","Supplemental","1963","9","1"
"324","Books","1963","4","2"
"325","Traffic","1963","2","3"
"326","Samsonite","1963","1","4"
"327","Farm","1963","1","4"
"328","Building","1963","1","4"
"329","Architecture","1962","28","1"
"330","Supplemental","1962","8","2"
"331","Town Plan","1962","2","3"
"332","Books","1962","2","3"
"333","Supplemental","1961","12","1"
"334","Town Plan","1961","1","2"
"335","Classic","1961","1","2"
"336","Airport","1961","1","2"
"337","Harbor","1961","1","2"
"338","Books","1961","1","2"
"339","Books","1960","1","1"
"340","Classic","1960","1","1"
"341","Supplemental","1960","1","1"
"342","Supplemental","1959","2","1"
"343","Basic Set","1959","1","2"
"344","Town Plan","1959","1","2"
"345","Supplemental","1958","31","1"
"346","Town Plan","1958","10","2"
"347","Basic Set","1958","1","3"
"348","Town Plan","1957","12","1"
"349","Supplemental","1957","6","2"
"350","Basic Set","1957","2","3"
"351","HO 1:87 Vehicles","1957","1","4"
"352","Supplemental","1956","7","1"
"353","Town Plan","1956","4","2"
"354","Books","1956","1","3"
"355","Supplemental","1955","20","1"
"356","Town Plan","1955","6","2"
"357","Mosaic","1955","1","3"
"358","Books","1955","1","3"
"359","Supplemental","1954","12","1"
"360","Town Plan","1954","2","2"
"361","Supplemental","1953","4","1"
"362","Supplemental","1950","6","1"
"363","Basic Set","1950","1","2"
